 Entry id   TP   TN   FP   FN
           1           1           0           0           0
           2           1           0           0           1
           3           1           0           0           2
           4           1           1           0           2
           5           1           1           1           2
           6           2           1           1           2
           7           3           1           1           2
           8           3           1           2           2
           9           3           1           3           2
          10           4           1           3           2
          11           4           1           3           3
          12           5           1           3           3
          13           5           1           4           3
          14           5           2           4           3
          15           6           2           4           3
          16           7           2           4           3
          17           8           2           4           3
          18           8           2           5           3
          19           9           2           5           3
          20          10           2           5           3
          21          11           2           5           3
          22          12           2           5           3
          23          13           2           5           3
          24          14           2           5           3
          25          14           2           5           4
          26          14           3           5           4
          27          14           4           5           4
          28          15           4           5           4
          29          16           4           5           4
          30          16           5           5           4
          31          16           6           5           4
          32          16           6           5           5
          33          16           7           5           5
          34          16           7           5           6
          35          16           7           5           7
          36          17           7           5           7
          37          17           7           5           8
          38          17           8           5           8
          39          18           8           5           8
          40          18           9           5           8
          41          18          10           5           8
          42          18          11           5           8
          43          19          11           5           8
          44          20          11           5           8
          45          20          11           5           9
          46          21          11           5           9
          47          21          11           6           9
          48          22          11           6           9
          49          22          11           7           9
          50          22          12           7           9
          51          22          13           7           9
          52          22          13           7          10
          53          22          14           7          10
          54          22          14           7          11
          55          23          14           7          11
          56          24          14           7          11
          57          25          14           7          11
          58          26          14           7          11
          59          26          15           7          11
          60          26          16           7          11
          61          26          17           7          11
          62          26          17           7          12
          63          26          17           7          13
          64          26          18           7          13
          65          26          18           7          14
          66          26          18           8          14
          67          27          18           8          14
          68          27          19           8          14
          69          27          19           8          15
          70          27          20           8          15
          71          27          21           8          15
          72          27          21           9          15
          73          27          21           9          16
          74          27          21           9          17
          75          27          22           9          17
          76          27          23           9          17
          77          28          23           9          17
          78          29          23           9          17
          79          29          23           9          18
          80          30          23           9          18
          81          30          23           9          19
          82          30          23           9          20
          83          30          23           9          21
          84          30          24           9          21
          85          30          24          10          21
          86          31          24          10          21
          87          32          24          10          21
          88          33          24          10          21
          89          34          24          10          21
          90          35          24          10          21
          91          36          24          10          21
          92          36          24          11          21
          93          36          24          11          22
          94          36          25          11          22
          95          37          25          11          22
          96          38          25          11          22
          97          39          25          11          22
          98          40          25          11          22
          99          41          25          11          22
         100          42          25          11          22
         101          43          25          11          22
         102          44          25          11          22
         103          45          25          11          22
         104          46          25          11          22
         105          47          25          11          22
         106          48          25          11          22
         107          49          25          11          22
         108          50          25          11          22
         109          51          25          11          22
         110          52          25          11          22
         111          53          25          11          22
         112          54          25          11          22
         113          55          25          11          22
         114          56          25          11          22
         115          57          25          11          22
         116          58          25          11          22
         117          59          25          11          22
         118          60          25          11          22
         119          60          26          11          22
         120          61          26          11          22
         121          61          26          11          23
         122          61          27          11          23
         123          61          28          11          23
         124          61          29          11          23
         125          61          30          11          23
         126          61          30          11          24
         127          61          31          11          24
         128          61          31          11          25
         129          61          32          11          25
         130          61          33          11          25
         131          61          33          12          25
         132          62          33          12          25
         133          63          33          12          25
         134          64          33          12          25
         135          65          33          12          25
         136          66          33          12          25
         137          67          33          12          25
         138          67          33          13          25
         139          68          33          13          25
         140          69          33          13          25
         141          70          33          13          25
         142          71          33          13          25
         143          72          33          13          25
         144          73          33          13          25
         145          74          33          13          25
         146          75          33          13          25
         147          75          33          14          25
         148          76          33          14          25
         149          76          33          15          25
         150          76          33          16          25
         151          77          33          16          25
         152          78          33          16          25
         153          79          33          16          25
         154          80          33          16          25
         155          81          33          16          25
         156          81          34          16          25
         157          81          35          16          25
         158          81          36          16          25
         159          81          37          16          25
         160          81          37          17          25
         161          81          37          18          25
         162          81          37          18          26
         163          81          38          18          26
         164          81          39          18          26
         165          81          40          18          26
         166          81          41          18          26
         167          82          41          18          26
         168          83          41          18          26
         169          83          42          18          26
         170          83          42          18          27
         171          83          42          18          28
         172          84          42          18          28
         173          84          43          18          28
         174          84          44          18          28
         175          85          44          18          28
         176          85          45          18          28
         177          85          45          18          29
         178          85          46          18          29
         179          85          47          18          29
         180          86          47          18          29
         181          86          47          18          30
         182          86          48          18          30
         183          87          48          18          30
         184          87          48          18          31
         185          87          49          18          31
         186          87          50          18          31
         187          87          51          18          31
         188          87          52          18          31
         189          88          52          18          31
         190          88          53          18          31
         191          88          54          18          31
         192          88          55          18          31
         193          89          55          18          31
         194          89          56          18          31
         195          89          57          18          31
         196          89          58          18          31
         197          89          59          18          31
         198          89          59          19          31
         199          89          60          19          31
         200          89          60          19          32
         201          89          61          19          32
         202          89          62          19          32
         203          89          63          19          32
         204          90          63          19          32
         205          90          64          19          32
         206          91          64          19          32
         207          92          64          19          32
         208          92          65          19          32
         209          92          65          19          33
         210          92          65          19          34
         211          93          65          19          34
         212          93          66          19          34
         213          93          66          20          34
         214          93          66          21          34
         215          94          66          21          34
         216          94          66          22          34
         217          95          66          22          34
         218          95          66          22          35
         219          96          66          22          35
         220          97          66          22          35
         221          97          66          23          35
         222          98          66          23          35
         223          98          66          24          35
         224          98          66          25          35
         225          98          67          25          35
         226          99          67          25          35
         227         100          67          25          35
         228         101          67          25          35
         229         102          67          25          35
         230         102          67          26          35
         231         102          67          27          35
         232         102          67          28          35
         233         102          68          28          35
         234         103          68          28          35
         235         104          68          28          35
         236         104          68          29          35
         237         105          68          29          35
         238         106          68          29          35
         239         106          68          30          35
         240         107          68          30          35
         241         108          68          30          35
         242         109          68          30          35
         243         110          68          30          35
         244         111          68          30          35
         245         112          68          30          35
         246         113          68          30          35
         247         114          68          30          35
         248         114          69          30          35
         249         115          69          30          35
         250         115          69          30          36
         251         116          69          30          36
         252         117          69          30          36
         253         118          69          30          36
         254         119          69          30          36
         255         120          69          30          36
         256         121          69          30          36
         257         122          69          30          36
         258         123          69          30          36
         259         123          70          30          36
         260         123          70          30          37
         261         123          70          30          38
         262         124          70          30          38
         263         124          70          31          38
         264         124          70          32          38
         265         124          71          32          38
         266         125          71          32          38
         267         125          72          32          38
         268         125          73          32          38
         269         125          74          32          38
         270         125          74          32          39
         271         125          75          32          39
         272         126          75          32          39
         273         126          75          33          39
